文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
ProjectE-1.21.1-PE1.1.0.jar,等价交换重制版 (ProjectE),,2025/6/4 6:48:58,,226410,2426228,K:\.minecraft\versions\BadAeroPlay\mods\ProjectE-1.21.1-PE1.1.0.jar
ProjectE_Integration-1.21.1-8.3.1.jar,等价兼容 (ProjectE Integration),,2026/4/13 23:34:44,,V8sT0HfM,263986,K:\.minecraft\versions\BadAeroPlay\mods\ProjectE_Integration-1.21.1-8.3.1.jar
ProbeJS-8.0.3.jar,ProbeJS,,2026/6/23 11:39:13,,JJNYRb4B,3405057,K:\.minecraft\versions\BadAeroPlay\mods\ProbeJS-8.0.3.jar
prickle-neoforge-1.21.1-21.1.11.jar,Prickle,,2025/9/4 11:19:44,,aaRl8GiW,84812,K:\.minecraft\versions\BadAeroPlay\mods\prickle-neoforge-1.21.1-21.1.11.jar
prefab-neoforge-1.0.9.jar,预制建筑 (Prefab),,2026/7/5 7:02:50,,pTJ1ZloG,9191338,K:\.minecraft\versions\BadAeroPlay\mods\prefab-neoforge-1.0.9.jar
prefab-custom-addon-1.1.0.jar,,,,,,301268,K:\.minecraft\versions\BadAeroPlay\mods\prefab-custom-addon-1.1.0.jar
powergrid-mc1.21.1-0.5.5.1.jar,机械动力：交错电网 (Create: Power Grid),,2026/4/27 19:47:58,,eWiBLJ9R,6252168,K:\.minecraft\versions\BadAeroPlay\mods\powergrid-mc1.21.1-0.5.5.1.jar
portable_engine_liquid_fuel-2.0.0-neoforge-1.21.1.jar,Create Aeronautics: Portable Engine Liquid Fuel,,2026/4/28 23:46:14,,HLbPoouI,133486,K:\.minecraft\versions\BadAeroPlay\mods\portable_engine_liquid_fuel-2.0.0-neoforge-1.21.1.jar
ponderjs-neoforge-1.21.1-2.4.0.jar,Ponder for KubeJS,,2026/1/9 18:46:44,,5A34Stj8,1571893,K:\.minecraft\versions\BadAeroPlay\mods\ponderjs-neoforge-1.21.1-2.4.0.jar
ponderforkc-1.0.0.jar,森罗厨房：思索 (Ponder For KaleidoscopeCookery),,2026/2/22 14:33:31,,I5JahfLa,51739,K:\.minecraft\versions\BadAeroPlay\mods\ponderforkc-1.0.0.jar
ponderer-1.21.1-neoforge-1.10.4.jar,思索者 (Ponderer),,2026/6/21 22:31:49,,voXQB5Hr,3175044,K:\.minecraft\versions\BadAeroPlay\mods\ponderer-1.21.1-neoforge-1.10.4.jar
polymorph-neoforge-1.1.0+1.21.1.jar,多态合成 (Polymorph),,2025/7/21 18:56:20,,tagwiZkJ,174972,K:\.minecraft\versions\BadAeroPlay\mods\polymorph-neoforge-1.1.0+1.21.1.jar
pointblank-neoforge-1.21-1.11.1.jar,Vic's Point Blank,,2026/3/5 12:17:31,,og4KPYmA,17553459,K:\.minecraft\versions\BadAeroPlay\mods\pointblank-neoforge-1.21-1.11.1.jar
pneumaticcraft-repressurized-8.2.23+mc1.21.1.jar,气动工艺 (PneumaticCraft: Repressurized),,2026/7/27 18:00:10,,ncAcdgk7,11884697,K:\.minecraft\versions\BadAeroPlay\mods\pneumaticcraft-repressurized-8.2.23+mc1.21.1.jar
player-animation-lib-forge-2.0.4+1.21.1.jar,playerAnimator,,2025/12/29 5:00:20,,gedNE4y2,203149,K:\.minecraft\versions\BadAeroPlay\mods\player-animation-lib-forge-2.0.4+1.21.1.jar
pipesnphysics-3.0.1.jar,Create: Pipes'n physics,,2026/7/29 2:19:10,,CuAT8bVS,667953,K:\.minecraft\versions\BadAeroPlay\mods\pipesnphysics-3.0.1.jar
Patchouli-1.21.1-93-NEOFORGE.jar,帕秋莉手册 (Patchouli),,2026/3/9 4:49:54,,nU0bVIaL,646777,K:\.minecraft\versions\BadAeroPlay\mods\Patchouli-1.21.1-93-NEOFORGE.jar
pantographsandwires-neoforge-1.21.1-beta-0.2.3-C6.jar,Create: Pantographs & Wires,,2026/6/10 5:56:14,,VzdCnMqW,2030764,K:\.minecraft\versions\BadAeroPlay\mods\pantographsandwires-neoforge-1.21.1-beta-0.2.3-C6.jar
paladin-furniture-mod-1.4.4-neoforge-mc1.21.1.jar,Paladin的家具 (Paladin's Furniture),,2025/9/1 14:17:19,,SISz7Qd3,6091385,K:\.minecraft\versions\BadAeroPlay\mods\paladin-furniture-mod-1.4.4-neoforge-mc1.21.1.jar
